mean_phred_score	n_sequences	sample	read_pair	stage
32	4978250	AP-DNA-1	2	cleaned
33	5795843	AP-DNA-1	2	cleaned
34	5180752	AP-DNA-1	2	cleaned
35	2255083	AP-DNA-1	2	cleaned
36	4165	AP-DNA-1	2	cleaned
25	25250	AP-DNA-2	1	cleaned
26	139370	AP-DNA-2	1	cleaned
27	421647	AP-DNA-2	1	cleaned
28	967422	AP-DNA-2	1	cleaned
29	1800065	AP-DNA-2	1	cleaned
30	2869121	AP-DNA-2	1	cleaned
31	4136351	AP-DNA-2	1	cleaned
32	5663019	AP-DNA-2	1	cleaned
33	7471950	AP-DNA-2	1	cleaned
34	9026429	AP-DNA-2	1	cleaned
35	6032997	AP-DNA-2	1	cleaned
36	4814	AP-DNA-2	1	cleaned
25	130233	AP-DNA-2	2	cleaned
26	467265	AP-DNA-2	2	cleaned
27	992577	AP-DNA-2	2	cleaned
28	1769193	AP-DNA-2	2	cleaned
29	2787047	AP-DNA-2	2	cleaned
30	4001550	AP-DNA-2	2	cleaned
31	5381275	AP-DNA-2	2	cleaned
32	6790238	AP-DNA-2	2	cleaned
33	7586244	AP-DNA-2	2	cleaned
34	6353166	AP-DNA-2	2	cleaned
35	2294790	AP-DNA-2	2	cleaned
36	4857	AP-DNA-2	2	cleaned
25	20491	AP-DNA-1	1	dedup
26	114607	AP-DNA-1	1	dedup
27	345294	AP-DNA-1	1	dedup
28	785628	AP-DNA-1	1	dedup
29	1443694	AP-DNA-1	1	dedup
30	2281199	AP-DNA-1	1	dedup
31	3264955	AP-DNA-1	1	dedup
32	4407803	AP-DNA-1	1	dedup
33	5678927	AP-DNA-1	1	dedup
34	6497297	AP-DNA-1	1	dedup
35	3993581	AP-DNA-1	1	dedup
36	3842	AP-DNA-1	1	dedup
25	97057	AP-DNA-1	2	dedup
26	334466	AP-DNA-1	2	dedup
27	708734	AP-DNA-1	2	dedup
28	1258789	AP-DNA-1	2	dedup
29	1968473	AP-DNA-1	2	dedup
30	2817709	AP-DNA-1	2	dedup
31	3806826	AP-DNA-1	2	dedup
32	4897310	AP-DNA-1	2	dedup
33	5689573	AP-DNA-1	2	dedup
34	5068512	AP-DNA-1	2	dedup
35	2185782	AP-DNA-1	2	dedup
36	4087	AP-DNA-1	2	dedup
25	25230	AP-DNA-2	1	dedup
26	139268	AP-DNA-2	1	dedup
27	420942	AP-DNA-2	1	dedup
28	964265	AP-DNA-2	1	dedup
29	1789987	AP-DNA-2	1	dedup
30	2843927	AP-DNA-2	1	dedup
31	4084676	AP-DNA-2	1	dedup
32	5569764	AP-DNA-2	1	dedup
33	7320249	AP-DNA-2	1	dedup
34	8807363	AP-DNA-2	1	dedup
35	5829277	AP-DNA-2	1	dedup
36	4743	AP-DNA-2	1	dedup
25	129924	AP-DNA-2	2	dedup
26	465888	AP-DNA-2	2	dedup
27	988026	AP-DNA-2	2	dedup
28	1756451	AP-DNA-2	2	dedup
29	2757688	AP-DNA-2	2	dedup
30	3946400	AP-DNA-2	2	dedup
31	5288916	AP-DNA-2	2	dedup
32	6656064	AP-DNA-2	2	dedup
33	7417043	AP-DNA-2	2	dedup
34	6180294	AP-DNA-2	2	dedup
35	2208258	AP-DNA-2	2	dedup
36	4739	AP-DNA-2	2	dedup
25	20485	AP-DNA-1	1	ribo_initial
26	114552	AP-DNA-1	1	ribo_initial
27	345079	AP-DNA-1	1	ribo_initial
28	784877	AP-DNA-1	1	ribo_initial
29	1441950	AP-DNA-1	1	ribo_initial
30	2277849	AP-DNA-1	1	ribo_initial
31	3259634	AP-DNA-1	1	ribo_initial
32	4400394	AP-DNA-1	1	ribo_initial
33	5669621	AP-DNA-1	1	ribo_initial
34	6487401	AP-DNA-1	1	ribo_initial
35	3987588	AP-DNA-1	1	ribo_initial
36	3841	AP-DNA-1	1	ribo_initial
24	1	AP-DNA-1	2	ribo_initial
25	96980	AP-DNA-1	2	ribo_initial
26	334150	AP-DNA-1	2	ribo_initial
27	708045	AP-DNA-1	2	ribo_initial
28	1257277	AP-DNA-1	2	ribo_initial
29	1965714	AP-DNA-1	2	ribo_initial
30	2813240	AP-DNA-1	2	ribo_initial
31	3800352	AP-DNA-1	2	ribo_initial
32	4889344	AP-DNA-1	2	ribo_initial
33	5680669	AP-DNA-1	2	ribo_initial
34	5060912	AP-DNA-1	2	ribo_initial
35	2182502	AP-DNA-1	2	ribo_initial
36	4085	AP-DNA-1	2	ribo_initial
25	25219	AP-DNA-2	1	ribo_initial
26	139200	AP-DNA-2	1	ribo_initial
27	420664	AP-DNA-2	1	ribo_initial
28	963296	AP-DNA-2	1	ribo_initial
29	1787682	AP-DNA-2	1	ribo_initial
30	2839690	AP-DNA-2	1	ribo_initial
31	4077814	AP-DNA-2	1	ribo_initial
32	5560021	AP-DNA-2	1	ribo_initial
33	7307896	AP-DNA-2	1	ribo_initial
34	8793645	AP-DNA-2	1	ribo_initial
35	5820545	AP-DNA-2	1	ribo_initial
36	4740	AP-DNA-2	1	ribo_initial
24	2	AP-DNA-2	2	ribo_initial
25	129794	AP-DNA-2	2	ribo_initial
26	465484	AP-DNA-2	2	ribo_initial
27	986987	AP-DNA-2	2	ribo_initial
28	1754203	AP-DNA-2	2	ribo_initial
29	2753487	AP-DNA-2	2	ribo_initial
30	3939890	AP-DNA-2	2	ribo_initial
31	5279973	AP-DNA-2	2	ribo_initial
32	6644818	AP-DNA-2	2	ribo_initial
33	7405362	AP-DNA-2	2	ribo_initial
34	6170881	AP-DNA-2	2	ribo_initial
35	2204799	AP-DNA-2	2	ribo_initial
36	4732	AP-DNA-2	2	ribo_initial
25	20463	AP-DNA-1	1	ribo_secondary
26	114394	AP-DNA-1	1	ribo_secondary
27	344472	AP-DNA-1	1	ribo_secondary
28	783456	AP-DNA-1	1	ribo_secondary
29	1439402	AP-DNA-1	1	ribo_secondary
30	2274050	AP-DNA-1	1	ribo_secondary
31	3255036	AP-DNA-1	1	ribo_secondary
32	4395343	AP-DNA-1	1	ribo_secondary
33	5664544	AP-DNA-1	1	ribo_secondary
34	6482441	AP-DNA-1	1	ribo_secondary
35	3984553	AP-DNA-1	1	ribo_secondary
36	3825	AP-DNA-1	1	ribo_secondary
24	1	AP-DNA-1	2	ribo_secondary
25	96815	AP-DNA-1	2	ribo_secondary
26	333629	AP-DNA-1	2	ribo_secondary
27	706896	AP-DNA-1	2	ribo_secondary
28	1255235	AP-DNA-1	2	ribo_secondary
29	1962753	AP-DNA-1	2	ribo_secondary
30	2809473	AP-DNA-1	2	ribo_secondary
31	3795725	AP-DNA-1	2	ribo_secondary
32	4884468	AP-DNA-1	2	ribo_secondary
33	5675811	AP-DNA-1	2	ribo_secondary
34	5056698	AP-DNA-1	2	ribo_secondary
35	2180408	AP-DNA-1	2	ribo_secondary
36	4067	AP-DNA-1	2	ribo_secondary
25	25182	AP-DNA-2	1	ribo_secondary
26	138931	AP-DNA-2	1	ribo_secondary
27	419817	AP-DNA-2	1	ribo_secondary
28	961237	AP-DNA-2	1	ribo_secondary
29	1784001	AP-DNA-2	1	ribo_secondary
30	2834189	AP-DNA-2	1	ribo_secondary
31	4070650	AP-DNA-2	1	ribo_secondary
32	5552339	AP-DNA-2	1	ribo_secondary
33	7299785	AP-DNA-2	1	ribo_secondary
34	8785727	AP-DNA-2	1	ribo_secondary
35	5815583	AP-DNA-2	1	ribo_secondary
36	4719	AP-DNA-2	1	ribo_secondary
24	2	AP-DNA-2	2	ribo_secondary
25	129579	AP-DNA-2	2	ribo_secondary
26	464627	AP-DNA-2	2	ribo_secondary
27	985137	AP-DNA-2	2	ribo_secondary
28	1751119	AP-DNA-2	2	ribo_secondary
29	2748894	AP-DNA-2	2	ribo_secondary
30	3933815	AP-DNA-2	2	ribo_secondary
31	5272972	AP-DNA-2	2	ribo_secondary
32	6636890	AP-DNA-2	2	ribo_secondary
33	7397744	AP-DNA-2	2	ribo_secondary
34	6164634	AP-DNA-2	2	ribo_secondary
35	2202055	AP-DNA-2	2	ribo_secondary
36	4692	AP-DNA-2	2	ribo_secondary
