taxid	name	rank	parent_taxid	sample	n_reads_direct	n_reads_clade
10239	Viruses	superkingdom	1	AP-DNA-10	0	1198
10239	Viruses	superkingdom	1	AP-DNA-11	0	460
10239	Viruses	superkingdom	1	AP-DNA-13	0	495
10239	Viruses	superkingdom	1	AP-DNA-14	0	91
10239	Viruses	superkingdom	1	AP-DNA-2	0	2390
10239	Viruses	superkingdom	1	AP-DNA-6	0	489
10239	Viruses	superkingdom	1	AP-DNA-7	0	491
10239	Viruses	superkingdom	1	AP-RNA-3	0	171
10239	Viruses	superkingdom	1	AP-RNA-5	0	120
10239	Viruses	superkingdom	1	AP-DNA-12	0	506
10239	Viruses	superkingdom	1	AP-DNA-4	0	456
10239	Viruses	superkingdom	1	AP-DNA-8	0	354
10239	Viruses	superkingdom	1	AP-DNA-9	0	844
10239	Viruses	superkingdom	1	AP-DNA-3	0	1182
10239	Viruses	superkingdom	1	AP-DNA-1	0	2531
10239	Viruses	superkingdom	1	AP-RNA-1	0	360
10239	Viruses	superkingdom	1	AP-DNA-15	0	17
10239	Viruses	superkingdom	1	AP-DNA-5	0	506
10239	Viruses	superkingdom	1	AP-RNA-10	0	166
10239	Viruses	superkingdom	1	AP-RNA-11	0	74
10239	Viruses	superkingdom	1	AP-RNA-12	0	275
10239	Viruses	superkingdom	1	AP-RNA-13	0	103
10239	Viruses	superkingdom	1	AP-RNA-14	0	18
10239	Viruses	superkingdom	1	AP-RNA-2	0	390
10239	Viruses	superkingdom	1	AP-RNA-4	0	218
10239	Viruses	superkingdom	1	AP-RNA-6	0	114
10239	Viruses	superkingdom	1	AP-RNA-7	0	99
10239	Viruses	superkingdom	1	AP-RNA-8	0	177
10239	Viruses	superkingdom	1	AP-RNA-9	0	203
10239	Viruses	superkingdom	1	AP-DNA-16	0	22
10239	Viruses	superkingdom	1	AP-RNA-15	0	1
10240	Poxviridae	family	2732527	AP-DNA-10	0	4
10240	Poxviridae	family	2732527	AP-DNA-11	0	2
10240	Poxviridae	family	2732527	AP-DNA-13	0	1
10240	Poxviridae	family	2732527	AP-DNA-14	0	2
10240	Poxviridae	family	2732527	AP-DNA-2	0	7
10240	Poxviridae	family	2732527	AP-DNA-6	0	2
10240	Poxviridae	family	2732527	AP-DNA-7	0	3
10240	Poxviridae	family	2732527	AP-RNA-3	0	1
10240	Poxviridae	family	2732527	AP-RNA-5	0	1
10240	Poxviridae	family	2732527	AP-DNA-12	0	2
10240	Poxviridae	family	2732527	AP-DNA-4	0	5
10240	Poxviridae	family	2732527	AP-DNA-8	0	1
10240	Poxviridae	family	2732527	AP-DNA-9	0	1
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-10	0	4
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-11	0	2
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-13	0	1
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-14	0	2
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-2	0	7
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-6	0	2
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-7	0	3
10241	Chordopoxvirinae	subfamily	10240	AP-RNA-3	0	1
10241	Chordopoxvirinae	subfamily	10240	AP-RNA-5	0	1
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-12	0	2
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-4	0	5
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-8	0	1
10241	Chordopoxvirinae	subfamily	10240	AP-DNA-9	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-10	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-11	0	2
10242	Orthopoxvirus	genus	10241	AP-DNA-13	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-14	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-2	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-6	0	1
10242	Orthopoxvirus	genus	10241	AP-DNA-7	0	1
10242	Orthopoxvirus	genus	10241	AP-RNA-3	0	1
10242	Orthopoxvirus	genus	10241	AP-RNA-5	0	1
10245	Vaccinia virus	species	10242	AP-DNA-10	1	1
10245	Vaccinia virus	species	10242	AP-DNA-11	2	2
10245	Vaccinia virus	species	10242	AP-DNA-13	1	1
10245	Vaccinia virus	species	10242	AP-DNA-14	1	1
10245	Vaccinia virus	species	10242	AP-DNA-2	1	1
10245	Vaccinia virus	species	10242	AP-DNA-6	1	1
10245	Vaccinia virus	species	10242	AP-DNA-7	1	1
10245	Vaccinia virus	species	10242	AP-RNA-3	1	1
10245	Vaccinia virus	species	10242	AP-RNA-5	1	1
10278	Molluscipoxvirus	genus	10241	AP-DNA-10	0	3
10278	Molluscipoxvirus	genus	10241	AP-DNA-14	0	1
10278	Molluscipoxvirus	genus	10241	AP-DNA-2	0	6
10278	Molluscipoxvirus	genus	10241	AP-DNA-6	0	1
10278	Molluscipoxvirus	genus	10241	AP-DNA-7	0	2
10278	Molluscipoxvirus	genus	10241	AP-DNA-12	0	2
10278	Molluscipoxvirus	genus	10241	AP-DNA-4	0	5
10278	Molluscipoxvirus	genus	10241	AP-DNA-8	0	1
10278	Molluscipoxvirus	genus	10241	AP-DNA-9	0	1
10279	Molluscum contagiosum virus	species	10278	AP-DNA-10	0	3
10279	Molluscum contagiosum virus	species	10278	AP-DNA-14	0	1
10279	Molluscum contagiosum virus	species	10278	AP-DNA-2	0	6
10279	Molluscum contagiosum virus	species	10278	AP-DNA-6	0	1
10279	Molluscum contagiosum virus	species	10278	AP-DNA-7	0	2
10279	Molluscum contagiosum virus	species	10278	AP-DNA-12	0	2
10279	Molluscum contagiosum virus	species	10278	AP-DNA-4	0	5
10279	Molluscum contagiosum virus	species	10278	AP-DNA-8	0	1
10279	Molluscum contagiosum virus	species	10278	AP-DNA-9	0	1
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-10	3	3
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-14	1	1
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-2	6	6
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-6	1	1
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-7	2	2
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-12	2	2
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-4	5	5
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-8	1	1
10280	Molluscum contagiosum virus subtype 1	no rank	10279	AP-DNA-9	1	1
10292	Herpesviridae	family	548681	AP-DNA-10	0	829
10292	Herpesviridae	family	548681	AP-DNA-11	0	344
10292	Herpesviridae	family	548681	AP-DNA-13	0	406
10292	Herpesviridae	family	548681	AP-DNA-14	0	51
10292	Herpesviridae	family	548681	AP-DNA-2	0	1930
10292	Herpesviridae	family	548681	AP-DNA-6	0	288
10292	Herpesviridae	family	548681	AP-DNA-7	0	278
10292	Herpesviridae	family	548681	AP-RNA-3	0	58
10292	Herpesviridae	family	548681	AP-RNA-5	0	22
10292	Herpesviridae	family	548681	AP-DNA-12	0	208
10292	Herpesviridae	family	548681	AP-DNA-4	0	185
10292	Herpesviridae	family	548681	AP-DNA-8	0	131
10292	Herpesviridae	family	548681	AP-DNA-9	0	417
10292	Herpesviridae	family	548681	AP-DNA-3	0	770
10292	Herpesviridae	family	548681	AP-DNA-1	0	1648
10292	Herpesviridae	family	548681	AP-RNA-1	0	133
10292	Herpesviridae	family	548681	AP-DNA-15	0	4
10292	Herpesviridae	family	548681	AP-DNA-5	0	308
10292	Herpesviridae	family	548681	AP-RNA-10	0	28
10292	Herpesviridae	family	548681	AP-RNA-11	0	16
10292	Herpesviridae	family	548681	AP-RNA-12	0	14
10292	Herpesviridae	family	548681	AP-RNA-13	0	29
10292	Herpesviridae	family	548681	AP-RNA-14	0	6
10292	Herpesviridae	family	548681	AP-RNA-2	0	167
10292	Herpesviridae	family	548681	AP-RNA-4	0	24
10292	Herpesviridae	family	548681	AP-RNA-6	0	26
10292	Herpesviridae	family	548681	AP-RNA-7	0	16
10292	Herpesviridae	family	548681	AP-RNA-8	0	13
10292	Herpesviridae	family	548681	AP-RNA-9	0	25
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-10	0	2
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-11	0	1
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-14	0	1
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-2	0	2
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-3	0	8
10293	Alphaherpesvirinae	subfamily	10292	AP-DNA-1	0	2
10293	Alphaherpesvirinae	subfamily	10292	AP-RNA-1	0	1
10294	Simplexvirus	genus	10293	AP-DNA-10	0	2
10294	Simplexvirus	genus	10293	AP-DNA-11	0	1
10294	Simplexvirus	genus	10293	AP-DNA-14	0	1
10294	Simplexvirus	genus	10293	AP-DNA-2	0	2
10294	Simplexvirus	genus	10293	AP-DNA-3	0	7
10294	Simplexvirus	genus	10293	AP-DNA-1	0	2
10294	Simplexvirus	genus	10293	AP-RNA-1	0	1
10298	Human alphaherpesvirus 1	species	10294	AP-DNA-10	1	2
10298	Human alphaherpesvirus 1	species	10294	AP-DNA-14	1	1
10298	Human alphaherpesvirus 1	species	10294	AP-DNA-2	2	2
10298	Human alphaherpesvirus 1	species	10294	AP-DNA-3	7	7
10299	Human alphaherpesvirus 1 strain 17	no rank	10298	AP-DNA-10	1	1
10310	Human alphaherpesvirus 2	species	10294	AP-DNA-11	1	1
10310	Human alphaherpesvirus 2	species	10294	AP-DNA-1	2	2
10310	Human alphaherpesvirus 2	species	10294	AP-RNA-1	1	1
10319	Varicellovirus	genus	10293	AP-DNA-3	0	1
10335	Human alphaherpesvirus 3	species	10319	AP-DNA-3	1	1
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-10	0	824
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-11	0	343
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-13	0	406
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-14	0	49
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-2	0	1927
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-6	0	288
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-7	0	278
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-3	0	58
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-5	0	22
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-12	0	206
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-4	0	185
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-8	0	131
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-9	0	417
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-3	0	760
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-1	0	1645
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-1	0	132
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-15	0	4
10357	Betaherpesvirinae	subfamily	10292	AP-DNA-5	0	308
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-10	0	27
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-11	0	16
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-12	0	14
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-13	0	29
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-14	0	6
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-2	0	167
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-4	0	24
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-6	0	26
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-7	0	16
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-8	0	13
10357	Betaherpesvirinae	subfamily	10292	AP-RNA-9	0	25
10358	Cytomegalovirus	genus	10357	AP-DNA-10	0	821
10358	Cytomegalovirus	genus	10357	AP-DNA-11	0	342
10358	Cytomegalovirus	genus	10357	AP-DNA-13	0	404
10358	Cytomegalovirus	genus	10357	AP-DNA-14	0	49
10358	Cytomegalovirus	genus	10357	AP-DNA-2	0	1919
10358	Cytomegalovirus	genus	10357	AP-DNA-6	0	287
10358	Cytomegalovirus	genus	10357	AP-DNA-7	0	277
10358	Cytomegalovirus	genus	10357	AP-RNA-3	0	56
10358	Cytomegalovirus	genus	10357	AP-RNA-5	0	22
10358	Cytomegalovirus	genus	10357	AP-DNA-12	0	203
10358	Cytomegalovirus	genus	10357	AP-DNA-4	0	184
10358	Cytomegalovirus	genus	10357	AP-DNA-8	0	130
10358	Cytomegalovirus	genus	10357	AP-DNA-9	0	417
10358	Cytomegalovirus	genus	10357	AP-DNA-3	0	755
10358	Cytomegalovirus	genus	10357	AP-DNA-1	0	1641
10358	Cytomegalovirus	genus	10357	AP-RNA-1	0	129
10358	Cytomegalovirus	genus	10357	AP-DNA-15	0	2
10358	Cytomegalovirus	genus	10357	AP-DNA-5	0	308
10358	Cytomegalovirus	genus	10357	AP-RNA-10	0	27
10358	Cytomegalovirus	genus	10357	AP-RNA-11	0	14
10358	Cytomegalovirus	genus	10357	AP-RNA-12	0	14
10358	Cytomegalovirus	genus	10357	AP-RNA-13	0	29
10358	Cytomegalovirus	genus	10357	AP-RNA-14	0	6
10358	Cytomegalovirus	genus	10357	AP-RNA-2	0	164
10358	Cytomegalovirus	genus	10357	AP-RNA-4	0	21
10358	Cytomegalovirus	genus	10357	AP-RNA-6	0	25
10358	Cytomegalovirus	genus	10357	AP-RNA-7	0	15
10358	Cytomegalovirus	genus	10357	AP-RNA-8	0	11
10358	Cytomegalovirus	genus	10357	AP-RNA-9	0	25
10359	Human betaherpesvirus 5	species	10358	AP-DNA-10	821	821
10359	Human betaherpesvirus 5	species	10358	AP-DNA-11	342	342
10359	Human betaherpesvirus 5	species	10358	AP-DNA-13	404	404
10359	Human betaherpesvirus 5	species	10358	AP-DNA-14	49	49
10359	Human betaherpesvirus 5	species	10358	AP-DNA-2	1919	1919
10359	Human betaherpesvirus 5	species	10358	AP-DNA-6	287	287
10359	Human betaherpesvirus 5	species	10358	AP-DNA-7	277	277
10359	Human betaherpesvirus 5	species	10358	AP-RNA-3	56	56
10359	Human betaherpesvirus 5	species	10358	AP-RNA-5	22	22
10359	Human betaherpesvirus 5	species	10358	AP-DNA-12	203	203
10359	Human betaherpesvirus 5	species	10358	AP-DNA-4	184	184
10359	Human betaherpesvirus 5	species	10358	AP-DNA-8	130	130
10359	Human betaherpesvirus 5	species	10358	AP-DNA-9	417	417
10359	Human betaherpesvirus 5	species	10358	AP-DNA-3	755	755
10359	Human betaherpesvirus 5	species	10358	AP-DNA-1	1641	1641
10359	Human betaherpesvirus 5	species	10358	AP-RNA-1	129	129
10359	Human betaherpesvirus 5	species	10358	AP-DNA-15	2	2
10359	Human betaherpesvirus 5	species	10358	AP-DNA-5	308	308
10359	Human betaherpesvirus 5	species	10358	AP-RNA-10	27	27
10359	Human betaherpesvirus 5	species	10358	AP-RNA-11	14	14
10359	Human betaherpesvirus 5	species	10358	AP-RNA-12	14	14
10359	Human betaherpesvirus 5	species	10358	AP-RNA-13	29	29
10359	Human betaherpesvirus 5	species	10358	AP-RNA-14	6	6
10359	Human betaherpesvirus 5	species	10358	AP-RNA-2	164	164
10359	Human betaherpesvirus 5	species	10358	AP-RNA-4	21	21
10359	Human betaherpesvirus 5	species	10358	AP-RNA-6	25	25
10359	Human betaherpesvirus 5	species	10358	AP-RNA-7	15	15
10359	Human betaherpesvirus 5	species	10358	AP-RNA-8	11	11
10359	Human betaherpesvirus 5	species	10358	AP-RNA-9	25	25
10372	Human betaherpesvirus 7	species	40272	AP-DNA-10	1	1
10372	Human betaherpesvirus 7	species	40272	AP-DNA-11	1	1
10372	Human betaherpesvirus 7	species	40272	AP-DNA-13	2	2
10372	Human betaherpesvirus 7	species	40272	AP-DNA-2	1	1
10372	Human betaherpesvirus 7	species	40272	AP-RNA-3	2	2
10372	Human betaherpesvirus 7	species	40272	AP-DNA-12	2	2
10372	Human betaherpesvirus 7	species	40272	AP-DNA-3	3	3
10372	Human betaherpesvirus 7	species	40272	AP-RNA-1	2	2
10372	Human betaherpesvirus 7	species	40272	AP-DNA-15	2	2
10372	Human betaherpesvirus 7	species	40272	AP-RNA-11	2	2
10372	Human betaherpesvirus 7	species	40272	AP-RNA-2	1	1
10372	Human betaherpesvirus 7	species	40272	AP-RNA-4	2	2
10372	Human betaherpesvirus 7	species	40272	AP-RNA-8	1	1
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-10	0	3
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-14	0	1
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-2	0	1
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-12	0	2
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-3	0	2
10374	Gammaherpesvirinae	subfamily	10292	AP-DNA-1	0	1
10374	Gammaherpesvirinae	subfamily	10292	AP-RNA-10	0	1
10375	Lymphocryptovirus	genus	10374	AP-DNA-10	0	3
10375	Lymphocryptovirus	genus	10374	AP-DNA-14	0	1
10375	Lymphocryptovirus	genus	10374	AP-DNA-2	0	1
10375	Lymphocryptovirus	genus	10374	AP-DNA-12	0	2
10375	Lymphocryptovirus	genus	10374	AP-DNA-3	0	2
10375	Lymphocryptovirus	genus	10374	AP-DNA-1	0	1
10375	Lymphocryptovirus	genus	10374	AP-RNA-10	0	1
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-10	3	3
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-14	1	1
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-2	1	1
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-12	2	2
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-3	2	2
10376	Human gammaherpesvirus 4	species	10375	AP-DNA-1	1	1
10376	Human gammaherpesvirus 4	species	10375	AP-RNA-10	1	1
10508	Adenoviridae	family	2732559	AP-DNA-10	0	15
10508	Adenoviridae	family	2732559	AP-DNA-11	0	7
10508	Adenoviridae	family	2732559	AP-DNA-13	0	5
10508	Adenoviridae	family	2732559	AP-DNA-14	0	3
10508	Adenoviridae	family	2732559	AP-DNA-2	0	73
10508	Adenoviridae	family	2732559	AP-DNA-6	0	4
10508	Adenoviridae	family	2732559	AP-DNA-7	0	31
10508	Adenoviridae	family	2732559	AP-RNA-3	0	4
10508	Adenoviridae	family	2732559	AP-RNA-5	0	1
10508	Adenoviridae	family	2732559	AP-DNA-12	0	4
10508	Adenoviridae	family	2732559	AP-DNA-4	0	4
10508	Adenoviridae	family	2732559	AP-DNA-8	0	23
10508	Adenoviridae	family	2732559	AP-DNA-9	0	5
10508	Adenoviridae	family	2732559	AP-DNA-3	0	22
10508	Adenoviridae	family	2732559	AP-DNA-1	0	335
10508	Adenoviridae	family	2732559	AP-RNA-1	0	35
10508	Adenoviridae	family	2732559	AP-DNA-5	0	1
10508	Adenoviridae	family	2732559	AP-RNA-13	0	1
10508	Adenoviridae	family	2732559	AP-RNA-2	0	7
10508	Adenoviridae	family	2732559	AP-RNA-4	0	1
10508	Adenoviridae	family	2732559	AP-RNA-7	0	3
10508	Adenoviridae	family	2732559	AP-RNA-8	0	5
10509	Mastadenovirus	genus	10508	AP-DNA-10	0	15
10509	Mastadenovirus	genus	10508	AP-DNA-11	0	7
10509	Mastadenovirus	genus	10508	AP-DNA-13	0	5
10509	Mastadenovirus	genus	10508	AP-DNA-14	0	3
10509	Mastadenovirus	genus	10508	AP-DNA-2	0	73
10509	Mastadenovirus	genus	10508	AP-DNA-6	0	4
10509	Mastadenovirus	genus	10508	AP-DNA-7	0	31
10509	Mastadenovirus	genus	10508	AP-RNA-3	0	4
10509	Mastadenovirus	genus	10508	AP-RNA-5	0	1
10509	Mastadenovirus	genus	10508	AP-DNA-12	0	4
10509	Mastadenovirus	genus	10508	AP-DNA-4	0	4
10509	Mastadenovirus	genus	10508	AP-DNA-8	0	23
10509	Mastadenovirus	genus	10508	AP-DNA-9	0	5
10509	Mastadenovirus	genus	10508	AP-DNA-3	0	22
10509	Mastadenovirus	genus	10508	AP-DNA-1	0	335
10509	Mastadenovirus	genus	10508	AP-RNA-1	0	35
10509	Mastadenovirus	genus	10508	AP-DNA-5	0	1
10509	Mastadenovirus	genus	10508	AP-RNA-13	0	1
10509	Mastadenovirus	genus	10508	AP-RNA-2	0	7
10509	Mastadenovirus	genus	10508	AP-RNA-4	0	1
10509	Mastadenovirus	genus	10508	AP-RNA-7	0	3
10509	Mastadenovirus	genus	10508	AP-RNA-8	0	5
10515	Human adenovirus 2	serotype	129951	AP-DNA-10	1	1
10515	Human adenovirus 2	serotype	129951	AP-DNA-13	1	1
10515	Human adenovirus 2	serotype	129951	AP-DNA-2	19	19
10515	Human adenovirus 2	serotype	129951	AP-DNA-4	1	1
10515	Human adenovirus 2	serotype	129951	AP-DNA-8	3	3
10515	Human adenovirus 2	serotype	129951	AP-DNA-3	5	5
10515	Human adenovirus 2	serotype	129951	AP-DNA-1	50	50
10515	Human adenovirus 2	serotype	129951	AP-RNA-1	6	6
10515	Human adenovirus 2	serotype	129951	AP-RNA-8	2	2
10524	Human adenovirus 41	serotype	130309	AP-DNA-10	2	2
10524	Human adenovirus 41	serotype	130309	AP-DNA-11	3	3
10524	Human adenovirus 41	serotype	130309	AP-DNA-13	1	1
10524	Human adenovirus 41	serotype	130309	AP-DNA-14	1	1
10524	Human adenovirus 41	serotype	130309	AP-DNA-2	3	3
10524	Human adenovirus 41	serotype	130309	AP-DNA-7	25	25
10524	Human adenovirus 41	serotype	130309	AP-DNA-8	1	1
10524	Human adenovirus 41	serotype	130309	AP-DNA-9	1	1
10524	Human adenovirus 41	serotype	130309	AP-DNA-3	1	1
10524	Human adenovirus 41	serotype	130309	AP-DNA-1	1	1
10524	Human adenovirus 41	serotype	130309	AP-RNA-7	1	1
10524	Human adenovirus 41	serotype	130309	AP-RNA-8	1	1
10529	Human adenovirus 31	serotype	129875	AP-RNA-3	3	3
10529	Human adenovirus 31	serotype	129875	AP-DNA-1	1	1
10533	Human adenovirus 1	serotype	129951	AP-DNA-10	4	4
10533	Human adenovirus 1	serotype	129951	AP-DNA-11	1	1
10533	Human adenovirus 1	serotype	129951	AP-DNA-2	8	8
10533	Human adenovirus 1	serotype	129951	AP-DNA-6	1	1
10533	Human adenovirus 1	serotype	129951	AP-DNA-4	1	1
10533	Human adenovirus 1	serotype	129951	AP-DNA-8	6	6
10533	Human adenovirus 1	serotype	129951	AP-DNA-3	7	7
10533	Human adenovirus 1	serotype	129951	AP-DNA-1	37	37
10533	Human adenovirus 1	serotype	129951	AP-RNA-1	2	2
10534	Human adenovirus 6	serotype	129951	AP-DNA-14	2	2
10534	Human adenovirus 6	serotype	129951	AP-DNA-2	6	6
10534	Human adenovirus 6	serotype	129951	AP-DNA-8	1	1
10534	Human adenovirus 6	serotype	129951	AP-DNA-1	23	23
10534	Human adenovirus 6	serotype	129951	AP-RNA-1	4	4
10534	Human adenovirus 6	serotype	129951	AP-RNA-2	2	2
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-13	1	1
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-2	2	2
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-6	4	4
10579	Human papillomavirus type 8	serotype	337051	AP-RNA-3	1	1
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-12	1	1
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-4	1	1
10579	Human papillomavirus type 8	serotype	337051	AP-DNA-1	1	1
10579	Human papillomavirus type 8	serotype	337051	AP-RNA-6	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-10	2	2
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-13	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-2	56	56
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-6	3	3
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-7	17	17
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-3	6	6
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-5	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-12	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-4	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-8	2	2
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-3	34	34
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-1	26	26
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-1	4	4
10583	Human papillomavirus type 1a	serotype	334203	AP-DNA-5	4	4
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-12	2	2
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-13	2	2
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-14	1	1
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-2	17	17
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-4	4	4
10583	Human papillomavirus type 1a	serotype	334203	AP-RNA-7	1	1
10584	Human papillomavirus type 2a	serotype	337043	AP-DNA-10	1	1
10584	Human papillomavirus type 2a	serotype	337043	AP-RNA-3	1	1
10584	Human papillomavirus type 2a	serotype	337043	AP-DNA-9	2	2
10584	Human papillomavirus type 2a	serotype	337043	AP-DNA-3	2	2
10584	Human papillomavirus type 2a	serotype	337043	AP-DNA-1	6	6
10584	Human papillomavirus type 2a	serotype	337043	AP-RNA-9	1	1
10590	human papillomavirus 42	serotype	337048	AP-DNA-10	2	2
10590	human papillomavirus 42	serotype	337048	AP-DNA-11	1	1
10590	human papillomavirus 42	serotype	337048	AP-DNA-12	1	1
10590	human papillomavirus 42	serotype	337048	AP-DNA-8	1	1
10590	human papillomavirus 42	serotype	337048	AP-DNA-9	2	2
10590	human papillomavirus 42	serotype	337048	AP-DNA-5	1	1
10590	human papillomavirus 42	serotype	337048	AP-RNA-14	2	2
10594	human papillomavirus 47	serotype	337051	AP-DNA-14	1	1
10599	Human papillomavirus type 5b	serotype	337051	AP-DNA-11	1	1
10599	Human papillomavirus type 5b	serotype	337051	AP-RNA-5	1	1
10599	Human papillomavirus type 5b	serotype	337051	AP-DNA-8	1	1
10599	Human papillomavirus type 5b	serotype	337051	AP-DNA-3	2	2
10604	human papillomavirus 12	serotype	337051	AP-DNA-10	1	1
10604	human papillomavirus 12	serotype	337051	AP-DNA-13	1	1
10604	human papillomavirus 12	serotype	337051	AP-DNA-9	1	1
10604	human papillomavirus 12	serotype	337051	AP-RNA-1	1	1
10605	human papillomavirus 14	serotype	337051	AP-DNA-6	0	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-10	1	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-2	1	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-6	2	2
10606	Human papillomavirus 15	serotype	333924	AP-DNA-7	1	1
10606	Human papillomavirus 15	serotype	333924	AP-RNA-3	1	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-8	3	3
10606	Human papillomavirus 15	serotype	333924	AP-DNA-3	1	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-1	3	3
10606	Human papillomavirus 15	serotype	333924	AP-DNA-5	2	2
10606	Human papillomavirus 15	serotype	333924	AP-RNA-10	1	1
10606	Human papillomavirus 15	serotype	333924	AP-RNA-13	2	2
10606	Human papillomavirus 15	serotype	333924	AP-RNA-2	4	4
10606	Human papillomavirus 15	serotype	333924	AP-RNA-7	1	1
10606	Human papillomavirus 15	serotype	333924	AP-RNA-8	3	3
10606	Human papillomavirus 15	serotype	333924	AP-RNA-9	1	1
10606	Human papillomavirus 15	serotype	333924	AP-DNA-16	6	6
